episode,current_makespan_lower,current_makespan_upper,best_makespan_lower,best_makespan_upper,avg_makespan_lower,avg_makespan_upper,training_time
1,2773.0,3150.0,2773.0,3150.0,2773.0,3150.0,0.4741687774658203
2,3039.0,3487.0,2773.0,3150.0,2906.0,3318.5,7.234943866729736
3,2681.0,3111.0,2681.0,3111.0,2831.0,3249.3333333333335,14.938173532485962
4,2833.0,3289.0,2681.0,3111.0,2831.5,3259.25,22.012353897094727
5,2632.0,3018.0,2632.0,3018.0,2791.6,3211.0,30.92801547050476
6,2556.0,2934.0,2556.0,2934.0,2752.3333333333335,3164.8333333333335,38.85979390144348
7,2983.0,3461.0,2556.0,2934.0,2785.285714285714,3207.1428571428573,45.45431613922119
8,2482.0,2932.0,2482.0,2932.0,2747.375,3172.75,51.628828048706055
9,3137.0,3649.0,2482.0,2932.0,2790.6666666666665,3225.6666666666665,58.01894402503967
10,2791.0,3254.0,2482.0,2932.0,2790.7,3228.5,64.60647249221802
11,2620.0,3067.0,2482.0,2932.0,2775.181818181818,3213.818181818182,70.72148966789246
12,2405.0,2798.0,2405.0,2798.0,2744.3333333333335,3179.1666666666665,77.2031626701355
13,2566.0,2928.0,2405.0,2798.0,2730.6153846153848,3159.846153846154,84.6520504951477
14,2665.0,3081.0,2405.0,2798.0,2725.9285714285716,3154.214285714286,94.79828882217407
15,2640.0,2974.0,2405.0,2798.0,2720.2,3142.2,103.9255838394165
16,3012.0,3506.0,2405.0,2798.0,2738.4375,3164.9375,113.50580286979675
17,2950.0,3416.0,2405.0,2798.0,2750.8823529411766,3179.705882352941,121.58481884002686
18,3038.0,3552.0,2405.0,2798.0,2766.8333333333335,3200.3888888888887,130.64746069908142
19,2768.0,3169.0,2405.0,2798.0,2766.8947368421054,3198.7368421052633,137.51448726654053
20,2971.0,3419.0,2405.0,2798.0,2777.1,3209.75,145.3476128578186
21,2649.0,3036.0,2405.0,2798.0,2771.0,3201.4761904761904,152.57251119613647
22,2585.0,3001.0,2405.0,2798.0,2762.5454545454545,3192.3636363636365,160.52135348320007
23,2670.0,3039.0,2405.0,2798.0,2758.521739130435,3185.695652173913,168.03371572494507
24,2780.0,3222.0,2405.0,2798.0,2759.4166666666665,3187.2083333333335,175.38343906402588
25,2828.0,3258.0,2405.0,2798.0,2762.16,3190.04,183.8852081298828
26,2640.0,3063.0,2405.0,2798.0,2757.4615384615386,3185.153846153846,190.1592071056366
27,2715.0,3091.0,2405.0,2798.0,2755.8888888888887,3181.6666666666665,196.6302089691162
28,2706.0,3110.0,2405.0,2798.0,2754.1071428571427,3179.1071428571427,202.83720684051514
29,2780.0,3303.0,2405.0,2798.0,2755.0,3183.3793103448274,208.91120791435242
30,2614.0,3022.0,2405.0,2798.0,2750.3,3178.0,215.2082118988037
31,2761.0,3227.0,2405.0,2798.0,2749.9,3180.5666666666666,221.3410792350769
32,2658.0,3060.0,2405.0,2798.0,2737.2,3166.3333333333335,227.4136073589325
33,2938.0,3349.0,2405.0,2798.0,2745.766666666667,3174.266666666667,233.58753752708435
34,2693.0,3122.0,2405.0,2798.0,2741.1,3168.7,239.67958760261536
35,2891.0,3246.0,2405.0,2798.0,2749.733333333333,3176.3,245.77800154685974
36,2905.0,3337.0,2405.0,2798.0,2761.366666666667,3189.733333333333,251.8747889995575
37,2949.0,3409.0,2405.0,2798.0,2760.233333333333,3188.0,257.9487991333008
38,2625.0,3034.0,2405.0,2798.0,2765.0,3191.4,263.9476251602173
39,2885.0,3319.0,2405.0,2798.0,2756.6,3180.4,270.06460523605347
40,3024.0,3454.0,2405.0,2798.0,2764.366666666667,3187.0666666666666,276.12944984436035
41,3099.0,3537.0,2405.0,2798.0,2780.3333333333335,3202.733333333333,282.19743037223816
42,2937.0,3341.0,2405.0,2798.0,2798.0666666666666,3220.8333333333335,288.28939747810364
43,2971.0,3433.0,2405.0,2798.0,2811.5666666666666,3237.6666666666665,294.7888309955597
44,3235.0,3747.0,2405.0,2798.0,2830.5666666666666,3259.866666666667,300.8282141685486
45,2894.0,3389.0,2405.0,2798.0,2839.0333333333333,3273.7,306.9330337047577
46,3063.0,3511.0,2405.0,2798.0,2840.733333333333,3273.866666666667,313.0116765499115
47,2970.0,3438.0,2405.0,2798.0,2841.4,3274.6,319.0314657688141
48,3184.0,3679.0,2405.0,2798.0,2846.266666666667,3278.8333333333335,325.2210621833801
49,3111.0,3528.0,2405.0,2798.0,2857.7,3290.8,331.2740514278412
50,2898.0,3338.0,2405.0,2798.0,2855.266666666667,3288.1,337.3000612258911
