lam,seed,re,ancho
0.0,1,18.7419,12.4194
0.0,10,18.4553,12.702
0.0,2,17.7791,12.4547
0.0,3,18.8788,12.585
0.0,4,18.5426,12.7051
0.0,5,17.4856,12.4111
0.0,6,17.9212,12.2576
0.0,7,17.7707,12.2656
0.0,8,17.8381,12.4204
0.0,9,18.3917,12.4347
0.5,1,19.9478,12.3339
0.5,10,17.5584,12.6636
0.5,2,18.3567,12.4646
0.5,3,17.5977,12.3524
0.5,4,18.6254,12.6548
0.5,5,17.2123,12.4071
0.5,6,17.3986,12.4491
0.5,7,18.3182,12.4135
0.5,8,17.1825,12.141
0.5,9,17.5719,12.4642
2.0,1,17.8083,12.3213
2.0,10,19.0796,12.6022
2.0,2,18.3551,12.45
2.0,3,18.9629,12.9348
2.0,4,18.5082,12.2812
2.0,5,19.4449,12.4275
2.0,6,18.6054,12.3932
2.0,7,20.6988,11.9726
2.0,8,18.8031,12.4643
2.0,9,19.6213,12.5144
4.0,1,20.0942,12.6984
4.0,10,19.6827,12.4307
4.0,2,19.0348,12.7198
4.0,3,19.1308,12.7607
4.0,4,18.0434,12.3981
4.0,5,18.6392,12.4803
4.0,6,18.6186,12.3759
4.0,7,18.4188,12.5208
4.0,8,18.9955,12.7782
4.0,9,19.5204,12.3875
