instance,cls,method,width,eps_bar,rel_width,coverage
int__tai15_15_01,15_15,GP,1.0,8.8572,13.3515,1.0000
int__tai15_15_01,15_15,GP,1.2,10.1455,,1.0000
int__tai15_15_01,15_15,GP,1.4,11.5160,,1.0000
int__tai15_15_01,15_15,EST,1.0,8.3214,15.9350,1.0000
int__tai15_15_01,15_15,EST,1.2,10.4393,,1.0000
int__tai15_15_01,15_15,EST,1.4,11.8098,,1.0000
int__tai15_15_01,15_15,GT-MWKR,1.0,8.1765,14.6216,1.0000
int__tai15_15_01,15_15,GT-MWKR,1.2,10.0020,,1.0000
int__tai15_15_01,15_15,GT-MWKR,1.4,11.2482,,1.0000
int__tai15_15_01,15_15,GP-nowidth,1.0,8.6008,14.7292,1.0000
int__tai15_15_01,15_15,GP-nowidth,1.2,10.5841,,1.0000
int__tai15_15_01,15_15,GP-nowidth,1.4,11.5571,,1.0000
int__tai15_15_01,15_15,GP-rob1,1.0,5.6750,9.6543,1.0000
int__tai15_15_01,15_15,GP-rob1,1.2,6.9149,,1.0000
int__tai15_15_01,15_15,GP-rob1,1.4,8.2893,,1.0000
int__tai15_15_01,15_15,GP-rob1-nw,1.0,8.7975,14.9705,1.0000
int__tai15_15_01,15_15,GP-rob1-nw,1.2,10.5911,,1.0000
int__tai15_15_01,15_15,GP-rob1-nw,1.4,11.6926,,1.0000
int__tai15_15_01,15_15,GP-rob4,1.0,7.7568,12.1365,1.0000
int__tai15_15_01,15_15,GP-rob4,1.2,9.3885,,1.0000
int__tai15_15_01,15_15,GP-rob4,1.4,10.9225,,1.0000
int__tai15_15_02,15_15,GP,1.0,8.0312,12.6012,1.0000
int__tai15_15_02,15_15,GP,1.2,8.9315,,1.0000
int__tai15_15_02,15_15,GP,1.4,10.2443,,1.0000
int__tai15_15_02,15_15,EST,1.0,7.4098,13.8996,1.0000
int__tai15_15_02,15_15,EST,1.2,9.0194,,1.0000
int__tai15_15_02,15_15,EST,1.4,10.4119,,1.0000
int__tai15_15_02,15_15,GT-MWKR,1.0,7.9971,12.7044,1.0000
int__tai15_15_02,15_15,GT-MWKR,1.2,9.2100,,1.0000
int__tai15_15_02,15_15,GT-MWKR,1.4,10.9123,,1.0000
int__tai15_15_02,15_15,GP-nowidth,1.0,8.6958,13.8172,1.0000
