rule,mean_ms
gp_tuned_seed1,345.6
gp_tuned_seed10,350.6
gp_tuned_seed11,343.9
gp_tuned_seed12,351.0
gp_tuned_seed13,358.3
gp_tuned_seed14,364.1
gp_tuned_seed15,343.6
gp_tuned_seed16,349.9
gp_tuned_seed17,349.9
gp_tuned_seed18,458.8
gp_tuned_seed19,431.8
gp_tuned_seed2,454.5
gp_tuned_seed20,434.5
gp_tuned_seed21,442.9
gp_tuned_seed22,459.9
gp_tuned_seed23,397.8
gp_tuned_seed24,416.2
gp_tuned_seed25,462.4
gp_tuned_seed26,451.6
gp_tuned_seed27,433.8
gp_tuned_seed28,427.1
gp_tuned_seed29,428.9
gp_tuned_seed3,438.9
gp_tuned_seed30,420.4
gp_tuned_seed4,406.5
gp_tuned_seed5,412.2
gp_tuned_seed6,396.8
gp_tuned_seed7,412.9
gp_tuned_seed8,489.5
gp_tuned_seed9,409.3
